PLANT_ID,TIME,HOURS_POST_DEPLOY,SPECIES,TREATMENT,NUM_EGG_PRESENT,PROP_SURV
28,2200,12,INC,CLOSED,2,1
29,2200,12,INC,CLOSED,2,1
30,2200,12,INC,CLOSED,2,1
1,2200,12,SYR,OPEN,2,1
2,2200,12,SYR,OPEN,2,1
3,2200,12,SYR,OPEN,2,1
4,2200,12,SYR,OPEN,0,0
5,2200,12,SYR,OPEN,1,0.5
6,2200,12,SYR,OPEN,0,0
7,2200,12,SYR,OPEN,0,0
8,2200,12,SYR,OPEN,2,1
9,2200,12,SYR,OPEN,2,1
10,2200,12,SYR,OPEN,2,1
11,2200,12,SYR,OPEN,1,0.5
12,2200,12,SYR,OPEN,0,0
13,2200,12,SYR,OPEN,0,0
14,2200,12,SYR,OPEN,0,0
15,2200,12,SYR,OPEN,0,0
16,2200,12,INC,OPEN,1,0.5
17,2200,12,INC,OPEN,1,0.5
18,2200,12,INC,OPEN,2,1
19,2200,12,INC,OPEN,1,0.5
20,2200,12,INC,OPEN,2,1
21,2200,12,INC,OPEN,2,1
22,2200,12,INC,OPEN,2,1
23,2200,12,INC,OPEN,2,1
24,2200,12,INC,OPEN,1,0.5
25,2200,12,INC,OPEN,0,0
26,2200,12,INC,OPEN,2,1
27,2200,12,INC,OPEN,2,1
28,2200,12,INC,OPEN,2,1
29,2200,12,INC,OPEN,2,1
30,2200,12,INC,OPEN,2,1
1,2400,14,SYR,CLOSED,2,1
2,2400,14,SYR,CLOSED,2,1
3,2400,14,SYR,CLOSED,2,1
4,2400,14,SYR,CLOSED,2,1
5,2400,14,SYR,CLOSED,2,1
6,2400,14,SYR,CLOSED,2,1
7,2400,14,SYR,CLOSED,2,1
8,2400,14,SYR,CLOSED,1,0.5
9,2400,14,SYR,CLOSED,2,1
10,2400,14,SYR,CLOSED,2,1
11,2400,14,SYR,CLOSED,2,1
12,2400,14,SYR,CLOSED,2,1
13,2400,14,SYR,CLOSED,2,1
14,2400,14,SYR,CLOSED,2,1
15,2400,14,SYR,CLOSED,2,1
16,2400,14,INC,CLOSED,2,1
17,2400,14,INC,CLOSED,2,1
18,2400,14,INC,CLOSED,2,1
19,2400,14,INC,CLOSED,2,1
20,2400,14,INC,CLOSED,2,1
21,2400,14,INC,CLOSED,2,1
22,2400,14,INC,CLOSED,2,1
23,2400,14,INC,CLOSED,2,1
24,2400,14,INC,CLOSED,2,1
25,2400,14,INC,CLOSED,2,1
26,2400,14,INC,CLOSED,2,1
27,2400,14,INC,CLOSED,2,1
28,2400,14,INC,CLOSED,2,1
29,2400,14,INC,CLOSED,2,1
30,2400,14,INC,CLOSED,2,1
1,2400,14,SYR,OPEN,2,1
2,2400,14,SYR,OPEN,0,0
3,2400,14,SYR,OPEN,1,0.5
4,2400,14,SYR,OPEN,0,0
5,2400,14,SYR,OPEN,1,0.5
6,2400,14,SYR,OPEN,0,0
7,2400,14,SYR,OPEN,0,0
8,2400,14,SYR,OPEN,2,1
9,2400,14,SYR,OPEN,2,1
10,2400,14,SYR,OPEN,2,1
11,2400,14,SYR,OPEN,1,0.5
12,2400,14,SYR,OPEN,0,0
13,2400,14,SYR,OPEN,0,0
14,2400,14,SYR,OPEN,0,0
15,2400,14,SYR,OPEN,0,0
16,2400,14,INC,OPEN,1,0.5
17,2400,14,INC,OPEN,1,0.5
18,2400,14,INC,OPEN,2,1
19,2400,14,INC,OPEN,1,0.5
20,2400,14,INC,OPEN,2,1
21,2400,14,INC,OPEN,2,1
22,2400,14,INC,OPEN,2,1
23,2400,14,INC,OPEN,2,1
24,2400,14,INC,OPEN,1,0.5
25,2400,14,INC,OPEN,0,0
26,2400,14,INC,OPEN,2,1
27,2400,14,INC,OPEN,2,1
28,2400,14,INC,OPEN,2,1
29,2400,14,INC,OPEN,1,0.5
30,2400,14,INC,OPEN,2,1
1,200,16,SYR,CLOSED,2,1
2,200,16,SYR,CLOSED,2,1
3,200,16,SYR,CLOSED,2,1
4,200,16,SYR,CLOSED,2,1
5,200,16,SYR,CLOSED,2,1
6,200,16,SYR,CLOSED,2,1
7,200,16,SYR,CLOSED,2,1
8,200,16,SYR,CLOSED,1,0.5
9,200,16,SYR,CLOSED,2,1
10,200,16,SYR,CLOSED,2,1
11,200,16,SYR,CLOSED,2,1
12,200,16,SYR,CLOSED,2,1
13,200,16,SYR,CLOSED,2,1
14,200,16,SYR,CLOSED,2,1
15,200,16,SYR,CLOSED,2,1
16,200,16,INC,CLOSED,2,1
17,200,16,INC,CLOSED,2,1
18,200,16,INC,CLOSED,2,1
19,200,16,INC,CLOSED,2,1
20,200,16,INC,CLOSED,2,1
21,200,16,INC,CLOSED,2,1
22,200,16,INC,CLOSED,2,1
23,200,16,INC,CLOSED,2,1
24,200,16,INC,CLOSED,2,1
25,200,16,INC,CLOSED,2,1
26,200,16,INC,CLOSED,2,1
27,200,16,INC,CLOSED,2,1
28,200,16,INC,CLOSED,2,1
29,200,16,INC,CLOSED,2,1
30,200,16,INC,CLOSED,2,1
1,200,16,SYR,OPEN,2,1
2,200,16,SYR,OPEN,0,0
3,200,16,SYR,OPEN,1,0.5
4,200,16,SYR,OPEN,0,0
5,200,16,SYR,OPEN,0,0
6,200,16,SYR,OPEN,0,0
7,200,16,SYR,OPEN,0,0
8,200,16,SYR,OPEN,1,0.5
9,200,16,SYR,OPEN,2,1
10,200,16,SYR,OPEN,2,1
11,200,16,SYR,OPEN,0,0
12,200,16,SYR,OPEN,0,0
13,200,16,SYR,OPEN,0,0
14,200,16,SYR,OPEN,0,0
15,200,16,SYR,OPEN,0,0
16,200,16,INC,OPEN,1,0.5
17,200,16,INC,OPEN,1,0.5
18,200,16,INC,OPEN,2,1
19,200,16,INC,OPEN,0,0
20,200,16,INC,OPEN,2,1
21,200,16,INC,OPEN,2,1
22,200,16,INC,OPEN,2,1
23,200,16,INC,OPEN,1,0.5
24,200,16,INC,OPEN,1,0.5
25,200,16,INC,OPEN,0,0
26,200,16,INC,OPEN,2,1
27,200,16,INC,OPEN,1,0.5
28,200,16,INC,OPEN,2,1
29,200,16,INC,OPEN,1,0.5
30,200,16,INC,OPEN,0,0
1,400,18,SYR,CLOSED,2,1
2,400,18,SYR,CLOSED,2,1
3,400,18,SYR,CLOSED,2,1
4,400,18,SYR,CLOSED,2,1
5,400,18,SYR,CLOSED,2,1
6,400,18,SYR,CLOSED,2,1
7,400,18,SYR,CLOSED,2,1
8,400,18,SYR,CLOSED,1,0.5
9,400,18,SYR,CLOSED,2,1
10,400,18,SYR,CLOSED,2,1
11,400,18,SYR,CLOSED,2,1
12,400,18,SYR,CLOSED,2,1
13,400,18,SYR,CLOSED,2,1
14,400,18,SYR,CLOSED,2,1
15,400,18,SYR,CLOSED,2,1
16,400,18,INC,CLOSED,2,1
17,400,18,INC,CLOSED,2,1
18,400,18,INC,CLOSED,2,1
19,400,18,INC,CLOSED,2,1
20,400,18,INC,CLOSED,2,1
21,400,18,INC,CLOSED,2,1
22,400,18,INC,CLOSED,2,1
23,400,18,INC,CLOSED,2,1
24,400,18,INC,CLOSED,2,1
25,400,18,INC,CLOSED,2,1
26,400,18,INC,CLOSED,2,1
27,400,18,INC,CLOSED,2,1
28,400,18,INC,CLOSED,2,1
29,400,18,INC,CLOSED,2,1
30,400,18,INC,CLOSED,2,1
1,400,18,SYR,OPEN,2,1
2,400,18,SYR,OPEN,0,0
3,400,18,SYR,OPEN,0,0
4,400,18,SYR,OPEN,0,0
5,400,18,SYR,OPEN,0,0
6,400,18,SYR,OPEN,0,0
7,400,18,SYR,OPEN,0,0
8,400,18,SYR,OPEN,1,0.5
9,400,18,SYR,OPEN,2,1
10,400,18,SYR,OPEN,2,1
11,400,18,SYR,OPEN,0,0
12,400,18,SYR,OPEN,0,0
13,400,18,SYR,OPEN,0,0
14,400,18,SYR,OPEN,0,0
15,400,18,SYR,OPEN,0,0
16,400,18,INC,OPEN,1,0.5
17,400,18,INC,OPEN,1,0.5
18,400,18,INC,OPEN,2,1
19,400,18,INC,OPEN,0,0
20,400,18,INC,OPEN,2,1
21,400,18,INC,OPEN,1,0.5
22,400,18,INC,OPEN,2,1
23,400,18,INC,OPEN,1,0.5
24,400,18,INC,OPEN,1,0.5
25,400,18,INC,OPEN,0,0
26,400,18,INC,OPEN,2,1
27,400,18,INC,OPEN,1,0.5
28,400,18,INC,OPEN,2,1
29,400,18,INC,OPEN,1,0.5
30,400,18,INC,OPEN,0,0
1,600,20,SYR,CLOSED,2,1
2,600,20,SYR,CLOSED,2,1
3,600,20,SYR,CLOSED,2,1
4,600,20,SYR,CLOSED,2,1
5,600,20,SYR,CLOSED,2,1
6,600,20,SYR,CLOSED,2,1
7,600,20,SYR,CLOSED,2,1
8,600,20,SYR,CLOSED,1,0.5
9,600,20,SYR,CLOSED,2,1
10,600,20,SYR,CLOSED,2,1
11,600,20,SYR,CLOSED,2,1
12,600,20,SYR,CLOSED,2,1
13,600,20,SYR,CLOSED,2,1
14,600,20,SYR,CLOSED,2,1
15,600,20,SYR,CLOSED,2,1
16,600,20,INC,CLOSED,2,1
17,600,20,INC,CLOSED,2,1
18,600,20,INC,CLOSED,2,1
19,600,20,INC,CLOSED,2,1
20,600,20,INC,CLOSED,2,1
21,600,20,INC,CLOSED,2,1
22,600,20,INC,CLOSED,2,1
23,600,20,INC,CLOSED,2,1
24,600,20,INC,CLOSED,2,1
25,600,20,INC,CLOSED,2,1
26,600,20,INC,CLOSED,2,1
27,600,20,INC,CLOSED,2,1
28,600,20,INC,CLOSED,2,1
29,600,20,INC,CLOSED,2,1
30,600,20,INC,CLOSED,2,1
1,600,20,SYR,OPEN,2,1
2,600,20,SYR,OPEN,0,0
3,600,20,SYR,OPEN,0,0
4,600,20,SYR,OPEN,0,0
5,600,20,SYR,OPEN,0,0
6,600,20,SYR,OPEN,0,0
7,600,20,SYR,OPEN,0,0
8,600,20,SYR,OPEN,1,0.5
9,600,20,SYR,OPEN,2,1
10,600,20,SYR,OPEN,2,1
11,600,20,SYR,OPEN,0,0
12,600,20,SYR,OPEN,0,0
13,600,20,SYR,OPEN,0,0
14,600,20,SYR,OPEN,0,0
15,600,20,SYR,OPEN,0,0
16,600,20,INC,OPEN,1,0.5
17,600,20,INC,OPEN,1,0.5
18,600,20,INC,OPEN,2,1
19,600,20,INC,OPEN,0,0
20,600,20,INC,OPEN,2,1
21,600,20,INC,OPEN,1,0.5
22,600,20,INC,OPEN,1,0.5
23,600,20,INC,OPEN,1,0.5
24,600,20,INC,OPEN,1,0.5
25,600,20,INC,OPEN,0,0
26,600,20,INC,OPEN,1,0.5
27,600,20,INC,OPEN,1,0.5
28,600,20,INC,OPEN,2,1
29,600,20,INC,OPEN,1,0.5
30,600,20,INC,OPEN,0,0
1,800,22,SYR,CLOSED,2,1
2,800,22,SYR,CLOSED,2,1
3,800,22,SYR,CLOSED,2,1
4,800,22,SYR,CLOSED,2,1
5,800,22,SYR,CLOSED,2,1
6,800,22,SYR,CLOSED,2,1
7,800,22,SYR,CLOSED,2,1
8,800,22,SYR,CLOSED,1,0.5
9,800,22,SYR,CLOSED,2,1
10,800,22,SYR,CLOSED,2,1
11,800,22,SYR,CLOSED,2,1
12,800,22,SYR,CLOSED,2,1
13,800,22,SYR,CLOSED,2,1
14,800,22,SYR,CLOSED,2,1
15,800,22,SYR,CLOSED,2,1
16,800,22,INC,CLOSED,2,1
17,800,22,INC,CLOSED,2,1
18,800,22,INC,CLOSED,2,1
19,800,22,INC,CLOSED,2,1
20,800,22,INC,CLOSED,2,1
21,800,22,INC,CLOSED,2,1
22,800,22,INC,CLOSED,2,1
23,800,22,INC,CLOSED,2,1
24,800,22,INC,CLOSED,2,1
25,800,22,INC,CLOSED,2,1
26,800,22,INC,CLOSED,2,1
27,800,22,INC,CLOSED,2,1
28,800,22,INC,CLOSED,2,1
29,800,22,INC,CLOSED,2,1
30,800,22,INC,CLOSED,2,1
1,800,22,SYR,OPEN,2,1
2,800,22,SYR,OPEN,0,0
3,800,22,SYR,OPEN,0,0
4,800,22,SYR,OPEN,0,0
5,800,22,SYR,OPEN,0,0
6,800,22,SYR,OPEN,0,0
7,800,22,SYR,OPEN,0,0
8,800,22,SYR,OPEN,1,0.5
9,800,22,SYR,OPEN,2,1
10,800,22,SYR,OPEN,1,0.5
11,800,22,SYR,OPEN,0,0
12,800,22,SYR,OPEN,0,0
13,800,22,SYR,OPEN,0,0
14,800,22,SYR,OPEN,0,0
15,800,22,SYR,OPEN,0,0
16,800,22,INC,OPEN,1,0.5
17,800,22,INC,OPEN,0,0
18,800,22,INC,OPEN,2,1
19,800,22,INC,OPEN,0,0
20,800,22,INC,OPEN,2,1
21,800,22,INC,OPEN,1,0.5
22,800,22,INC,OPEN,1,0.5
23,800,22,INC,OPEN,0,0
24,800,22,INC,OPEN,1,0.5
25,800,22,INC,OPEN,0,0
26,800,22,INC,OPEN,1,0.5
27,800,22,INC,OPEN,1,0.5
28,800,22,INC,OPEN,2,1
29,800,22,INC,OPEN,1,0.5
30,800,22,INC,OPEN,0,0
1,1000,24,SYR,CLOSED,2,1
2,1000,24,SYR,CLOSED,2,1
3,1000,24,SYR,CLOSED,2,1
4,1000,24,SYR,CLOSED,2,1
5,1000,24,SYR,CLOSED,2,1
6,1000,24,SYR,CLOSED,2,1
7,1000,24,SYR,CLOSED,2,1
8,1000,24,SYR,CLOSED,1,0.5
9,1000,24,SYR,CLOSED,2,1
10,1000,24,SYR,CLOSED,2,1
11,1000,24,SYR,CLOSED,2,1
12,1000,24,SYR,CLOSED,2,1
13,1000,24,SYR,CLOSED,2,1
14,1000,24,SYR,CLOSED,2,1
15,1000,24,SYR,CLOSED,2,1
16,1000,24,INC,CLOSED,2,1
17,1000,24,INC,CLOSED,2,1
18,1000,24,INC,CLOSED,2,1
19,1000,24,INC,CLOSED,2,1
20,1000,24,INC,CLOSED,2,1
21,1000,24,INC,CLOSED,2,1
22,1000,24,INC,CLOSED,2,1
23,1000,24,INC,CLOSED,2,1
24,1000,24,INC,CLOSED,2,1
25,1000,24,INC,CLOSED,2,1
26,1000,24,INC,CLOSED,2,1
27,1000,24,INC,CLOSED,2,1
28,1000,24,INC,CLOSED,2,1
29,1000,24,INC,CLOSED,2,1
30,1000,24,INC,CLOSED,2,1
1,1000,24,SYR,OPEN,2,1
2,1000,24,SYR,OPEN,0,0
